Time,Heart Rate,Steps,Phase
10:38:00,69,0,Inactive
10:39:00,71,0,Inactive
10:40:00,68,0,Inactive
10:41:00,65,0,Inactive
10:42:00,65,0,Inactive
10:43:00,68,0,Inactive
10:44:00,71,0,Inactive
10:45:00,64,0,Inactive
10:46:00,65,0,Inactive
10:47:00,70,0,Inactive
10:48:00,72,0,Inactive
10:49:00,80,0,Inactive
10:50:00,70,0,Inactive
10:51:00,68,0,Inactive
10:52:00,73,0,Inactive
10:53:00,65,0,Inactive
10:54:00,72,0,Inactive
10:55:00,72,0,Inactive
10:56:00,72,0,Inactive
10:57:00,81,0,Inactive
10:58:00,79,0,Inactive
10:59:00,82,0,Inactive
11:00:00,75,0,Inactive
11:01:00,79,11,Inactive
11:02:00,73,0,Inactive
11:03:00,80,0,Inactive
11:04:00,78,0,Inactive
11:05:00,80,0,Inactive
11:06:00,77,0,Inactive
11:07:00,79,0,Inactive
11:08:00,82,0,Inactive
11:09:00,76,0,Inactive
11:10:00,84,0,Inactive
11:11:00,92,46,Inactive
11:12:00,100,10,Inactive
11:13:00,101,44,Inactive
11:14:00,81,0,Inactive
11:15:00,77,0,Inactive
11:16:00,79,0,Inactive
11:17:00,86,0,Inactive
11:18:00,76,0,Inactive
11:19:00,73,0,Inactive
11:20:00,74,0,Inactive
11:21:00,72,0,Inactive
11:22:00,72,0,Inactive
11:23:00,79,0,Inactive
11:24:00,71,0,Inactive
11:25:00,74,0,Inactive
11:26:00,73,0,Inactive
11:27:00,72,0,Inactive
11:28:00,73,0,Inactive
11:29:00,67,0,Inactive
11:30:00,68,0,Inactive
11:31:00,68,0,Inactive
11:32:00,65,0,Inactive
11:33:00,64,0,Inactive
11:34:00,65,0,Inactive
11:35:00,64,0,Inactive
11:36:00,63,0,Inactive
11:37:00,64,0,Inactive
11:38:00,66,0,Inactive
11:39:00,65,0,Inactive
11:40:00,67,0,Inactive
11:41:00,65,0,Inactive
11:42:00,69,0,Inactive
11:43:00,66,0,Inactive
11:44:00,64,0,Inactive
11:45:00,65,0,Inactive
11:46:00,65,0,Inactive
11:47:00,66,0,Inactive
11:48:00,65,0,Inactive
11:49:00,66,0,Inactive
11:50:00,66,0,Inactive
11:51:00,66,0,Inactive
11:52:00,66,0,Inactive
11:53:00,66,0,Inactive
11:54:00,67,0,Inactive
11:55:00,66,0,Inactive
11:56:00,67,0,Inactive
11:57:00,66,0,Inactive
11:58:00,66,0,Inactive
11:59:00,66,0,Inactive
12:00:00,66,0,Inactive
12:01:00,66,0,Inactive
12:02:00,80,0,Inactive
12:03:00,74,0,Inactive
12:04:00,75,0,Inactive
12:05:00,68,0,Inactive
12:06:00,80,0,Inactive
12:07:00,77,18,Inactive
12:08:00,98,12,Inactive
12:09:00,105,19,Inactive
12:10:00,108,12,Inactive
12:11:00,67,0,Inactive
12:12:00,63,12,Inactive
12:13:00,79,1,Inactive
12:14:00,74,0,Inactive
12:15:00,65,0,Inactive
12:16:00,75,0,Inactive
12:17:00,70,0,Inactive
12:18:00,69,0,Inactive
12:19:00,70,0,Inactive
12:20:00,70,0,Inactive
12:21:00,70,0,Inactive
12:22:00,70,0,Inactive
12:23:00,71,0,Inactive
12:24:00,70,0,Inactive
12:25:00,71,0,Inactive
12:26:00,71,0,Inactive
12:27:00,74,0,Inactive
12:28:00,80,0,Inactive
12:29:00,76,0,Inactive
12:30:00,85,0,Inactive
12:31:00,82,0,Inactive
12:32:00,84,0,Inactive
12:33:00,107,42,Inactive
12:34:00,92,6,Inactive
12:35:00,93,19,Inactive
12:36:00,112,0,Inactive
12:37:00,79,0,Inactive
12:38:00,108,4,Inactive
12:39:00,99,0,Inactive
12:40:00,85,0,Inactive
12:41:00,86,0,Inactive
12:42:00,89,0,Inactive
12:43:00,86,0,Inactive
12:44:00,91,0,Inactive
12:45:00,98,9,Inactive
12:46:00,101,0,Inactive
12:47:00,93,0,Inactive
